Variable,Shock (N=725),"Control (N=1,447)",P-value,SMD,Test
"Age, years",65.0 [54.0–74.0],63.0 [54.0–75.0],0.483,0.035,Wilcoxon
Admission SOFA score,6 [4–9],6 [4–8],0.398,0.045,Wilcoxon
"ICU LOS, days",13.8 [8.8–22.2],12.3 [7.7–19.6],<0.001,0.144,Wilcoxon
Male sex,411 (56.7%),862 (59.6%),0.198,-0.058,Chi-sq
Hospital mortality,412 (56.8%),308 (21.3%),<0.001,0.782,Chi-sq
Respiratory support before T0,630 (86.9%),"1,220 (84.3%)",0.110,0.074,Chi-sq
Vasopressor use before T0,676 (93.2%),599 (41.4%),<0.001,1.326,Chi-sq
"Race/ethnicity [Chi-sq p=0.191, SMD=0.055]",,,,,
  White,460 (63.4%),890 (61.5%),0.191,0.040,Chi-sq
  Black,77 (10.6%),180 (12.4%),—,-0.057,
  Hispanic,37 (5.1%),46 (3.2%),—,0.097,
  Asian,16 (2.2%),38 (2.6%),—,-0.027,
  Other,31 (4.3%),63 (4.4%),—,-0.004,
  Unknown/Other,104 (14.3%),230 (15.9%),—,-0.043,
"ICU type (first care unit) [Chi-sq p=<0.001, SMD=0.190]",,,,,
  MICU,351 (48.4%),627 (43.3%),<0.001,0.102,Chi-sq
  SICU,177 (24.4%),456 (31.5%),—,-0.159,
  CCU/CSRU,162 (22.3%),217 (15.0%),—,0.189,
  Neuro/NICU,14 (1.9%),117 (8.1%),—,-0.285,
  Other,21 (2.9%),30 (2.1%),—,0.053,
"Monitoring modality [Chi-sq p=0.808, SMD=0.023]",,,,,
  ABP,280 (38.6%),543 (37.5%),0.808,0.023,Chi-sq
  NBP,359 (49.5%),738 (51.0%),—,-0.030,
  MIXED,86 (11.9%),166 (11.5%),—,0.012,
