Analysis,Group,Comparison,n_early_pairs,n_late_pairs,early_auc_median,early_auc_q1,early_auc_q3,late_auc_median,late_auc_q1,late_auc_q3,p_value,shock_late_auc_median,control_late_auc_median,n_shock_late_pairs,n_control_late_pairs
全队列,control,early vs late,78.0,33,120.0,61.25,236.25,138.0,70.0,234.375,0.8364348018009509,,,,
全队列,control,raw_event_counts,115.0,47,,,,,,,,,,,
全队列,shock,early vs late,40.0,38,127.625,71.56250000000003,152.4375,180.0,73.875,302.375,0.07517306570460648,,,,
全队列,shock,raw_event_counts,55.0,50,,,,,,,,,,,
全队列,shock_vs_control,late shock vs control,,71,,,,,,,0.3299748498753441,180.0,138.0,38.0,33.0
策略B: 无升压药亚组,control,early vs late,67.0,32,120.0,66.25,253.125,137.75,69.375,226.21875,0.9463174977484472,,,,
策略B: 无升压药亚组,control,raw_event_counts,102.0,45,,,,,,,,,,,
策略B: 无升压药亚组,shock,early vs late,32.0,31,127.625,73.72916666666667,152.4375,192.0,128.75,331.25,0.01643743892623217,,,,
策略B: 无升压药亚组,shock,raw_event_counts,43.0,39,,,,,,,,,,,
策略B: 无升压药亚组,shock_vs_control,late shock vs control,,63,,,,,,,0.06151844308314133,192.0,137.75,31.0,32.0
